ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION
819 E 71st St (Speed Camera),EB,WB,8/20/2018,41.765836,-87.6036,"(41.765836, -87.6036)"
6125 N Cicero Ave (Speed Camera),NB,SB,3/17/2014,41.99211941,-87.74847679,"(41.9921194114274, -87.74847678515228)"
3137 W Peterson Ave (Speed Camera),EB,WB,1/3/2014,41.99028191,-87.7095,"(41.9902819135942, -87.7095)"
2080 W Pershing Rd (Speed Camera),EB,WB,9/7/2013,41.823116,-87.676366,"(41.823116, -87.676366)"
1330 W 76th St (Speed Camera),EB,WB,7/9/2021,41.75604941,-87.65705959,"(41.75604940593661, -87.65705959049882)"
11 E Chicago Ave (Speed Camera),EB,,4/29/2014,41.8966,-87.629,"(41.8966, -87.629)"
14 W Chicago Ave (Speed Camera),WB,,4/29/2014,41.89677913,-87.6288,"(41.89677912747405, -87.6288)"
5454 W Irving Park Rd (Speed Camera),EB,WB,11/10/2013,41.95332954,-87.76426726,"(41.95332954454448, -87.76426726425451)"
3534 N Western Ave (Speed Camera),SB,,1/31/2014,41.94596259,-87.68838396,"(41.9459625867886, -87.68838396394528)"
8345 S Ashland Ave (Speed Camera),NB,,10/11/2014,41.74174165,-87.66307333,"(41.741741651401504, -87.66307332925098)"
7122 S South Chicago Ave (Speed Camera),SEB,,8/20/2018,41.765164,-87.604804,"(41.765164, -87.604804)"
732 N Pulaski Rd (Speed Camera),NB,SB,3/24/2014,41.89450331,-87.72620452,"(41.89450330881178, -87.72620452246953)"
7739 S Western Ave (Speed Camera),NB,,12/18/2013,41.75262929,-87.68276526,"(41.752629293489285, -87.68276525603093)"
8318 S Ashland Ave (Speed Camera),SB,,10/11/2014,41.74247385,-87.66338548,"(41.74247385456547, -87.66338547998558)"
2900 W Ogden Ave (Speed Camera),EB,WB,10/17/2013,41.86040786,-87.6986721,"(41.86040786445197, -87.69867209877323)"
1638 N Ashland Ave (Speed Camera),SB,,3/3/2014,41.91179204,-87.66787046,"(41.91179204452259, -87.66787045896686)"
2417 W 103rd St (Speed Camera),EB,,10/17/2014,41.70626766,-87.68239147,"(41.70626766073214, -87.68239147238012)"
5433 S Pulaski Rd (Speed Camera),NB,,2/7/2014,41.79404505,-87.72303636,"(41.79404504596532, -87.72303636259336)"
3034 W Foster Ave (Speed Camera),EB,WB,10/5/2013,41.97588404,-87.70480112,"(41.9758840401294, -87.70480112338926)"
5739 N Northwest Hwy (Speed Camera),NB,SB,9/9/2014,41.98611939,-87.78774083,"(41.98611938850496, -87.7877408267013)"
3809 W Belmont Ave (Speed Camera),EB,,4/8/2014,41.93904026,-87.72264591,"(41.939040255975605, -87.72264591078833)"
4433 N Western Ave (Speed Camera),NB,,1/4/2014,41.96231379,-87.68856455,"(41.96231378868856, -87.68856455418805)"
4429 N Broadway (Speed Camera),,NB,11/23/2013,41.96259655,-87.65551768,"(41.962596548691735, -87.65551767517252)"
536 E Morgan Dr (Speed Camera),EB,WB,12/6/2013,41.79349265,-87.61187597,"(41.793492645896656, -87.6118759701359)"
324 E Illinois St (Speed Camera),EB,,4/14/2014,41.8909101,-87.61934752,"(41.89091009572781, -87.61934752145963)"
2329 Division St (Speed Camera),EB,WB,2/24/2014,41.90292941,-87.68576188,"(41.90292940885378, -87.68576187971952)"
7518 S Vincennes Ave (Speed Camera),NB,SB,2/17/2014,41.75749704,-87.63183333,"(41.75749703994495, -87.63183332832696)"
7738 S Western Ave (Speed Camera),SB,,12/18/2013,41.75271909,-87.68306096,"(41.75271909284453, -87.68306095859297)"
4436 N Western Ave (Speed Camera),SB,,1/4/2014,41.96242185,-87.68886228,"(41.9624218495406, -87.68886227502836)"
5030 S Pulaski Rd (Speed Camera),SB,,1/31/2014,41.80140191,-87.7235446,"(41.80140191299459, -87.72354459803559)"
5432 W Lawrence Ave (Speed Camera),EB,WB,2/14/2014,41.96785573,-87.76392864,"(41.96785573012919, -87.76392864369929)"
5440 W Grand Ave (Speed Camera),EB,WB,12/12/2013,41.91823127,-87.76233706,"(41.91823126606235, -87.7623370579504)"
1334 W Garfield Blvd (Speed Camera),WB,,3/24/2014,41.79422647,-87.65871,"(41.79422646635146, -87.65870999891658)"
215 E 63rd St (Speed Camera),EB,WB,9/24/2014,41.78005699,-87.61975472,"(41.78005698693417, -87.6197547203603)"
5509 W Fullerton Ave (Speed Camera),EB,,12/12/2013,41.92389747,-87.76390558,"(41.92389747217995, -87.76390557836874)"
1754 N Pulaski Rd (Speed Camera),SB,NB,11/9/2015,41.91337483,-87.7265886,"(41.91337483050126, -87.72658859994081)"
5816 W Jackson Blvd (Speed Camera),EB,WB,11/6/2013,41.8771894,-87.7703695,"(41.87718940463045, -87.7703695017756)"
5330 Cottage Grove Ave (Speed Camera),NB,SB,10/5/2013,41.79770389,-87.60644478,"(41.79770388561477, -87.60644477865196)"
5428 S Pulaski Rd (Speed Camera),SB,,2/7/2014,41.79415458,-87.72333321,"(41.7941545839503, -87.72333321258739)"
2443 N Ashland Ave (Speed Camera),SB,,1/25/2014,41.92641883,-87.66804246,"(41.926418831263994, -87.66804246498943)"
3047 W Jackson Blvd (Speed Camera),EB,WB,3/17/2014,41.87724277,-87.70295269,"(41.877242773826396, -87.7029526885659)"
2917 W Roosevelt Rd (Speed Camera),EB,,10/5/2013,41.86636402,-87.69914297,"(41.866364024167034, -87.69914296647906)"
4929 S Pulaski Rd (Speed Camera),NB,,1/31/2014,41.80326489,-87.72330351,"(41.80326489471, -87.72330350914287)"
3843 W 111th St (Speed Camera),EB,WB,1/13/2014,41.6912024,-87.7172114,"(41.69120239624487, -87.71721139909997)"
7157 S South Chicago Ave (Speed Camera),NWB,,8/20/2018,41.764716,-87.603742,"(41.764716, -87.603742)"
3832 W 79th St (Speed Camera),EB,,2/10/2014,41.74971518,-87.71959878,"(41.749715176851936, -87.71959877920995)"
2550 W 79th St (Speed Camera),WB,,12/18/2013,41.75021259,-87.68742106,"(41.75021259302275, -87.6874210628529)"
3130 N Ashland Ave (Speed Camera),EB,,9/26/2014,41.93880547,-87.66877878,"(41.93880546751142, -87.66877877931208)"
2721 W Montrose Ave (Speed Camera),EB,WB,11/15/2013,41.96114938,-87.69696403,"(41.96114938287925, -87.69696403378589)"
3655 W Jackson Blvd (Speed Camera),EB,WB,9/10/2013,41.87707083,-87.71816832,"(41.87707082846323, -87.71816831641307)"
6443 W Belmont Ave (Speed Camera),EB,,3/10/2014,41.93818126,-87.78765549,"(41.938181258548575, -87.78765548502582)"
2440 W 51st St (Speed Camera),WB,,2/24/2014,41.80123575,-87.68589578,"(41.80123574797641, -87.68589577919322)"
449 N Columbus Dr (Speed Camera),NB,,5/18/2014,41.89003776,-87.62017903,"(41.89003775504898, -87.62017903427099)"
3230 N Milwaukee Ave (Speed Camera),NB,SB,4/8/2014,41.93969901,-87.72507434,"(41.93969900713657, -87.72507433916897)"
115 N Ogden Ave (Speed Camera),NB,SB,1/25/2014,41.88319152,-87.6641147,"(41.883191521391076, -87.66411469955516)"
1635 N Ashland Ave (Speed Camera),NB,,3/3/2014,41.91168402,-87.66757343,"(41.91168401599584, -87.66757342998466)"
6330 S Martin Luther King Dr (Speed Camera),NB,SB,9/24/2014,41.779286,-87.616054,"(41.779286, -87.616054)"
3851 W 79th St (Speed Camera),WB,,2/10/2014,41.74937091,-87.71910468,"(41.74937090787529, -87.71910467544157)"
1110 S Pulaski Rd (Speed Camera),SB,,9/5/2014,41.86760272,-87.72538274,"(41.86760272243294, -87.7253827433152)"
450 N Columbus Dr (Speed Camera),SB,,5/18/2014,41.89012235,-87.6204164,"(41.890122352505166, -87.62041639513696)"
8043 W Addison St (Speed Camera),,EB,7/16/2018,41.944928,-87.827727,"(41.944928, -87.827727)"
6514 W Belmont Ave (Speed Camera),WB,,3/10/2014,41.93837716,-87.78911871,"(41.93837715933998, -87.78911871294291)"
57 E 95th St (Speed Camera),WB,,10/12/2013,41.72165713,-87.6214629,"(41.72165713317433, -87.62146289865515)"
2448 N Clybourn Ave (Speed Camera),NB,SB,3/28/2014,41.92615334,-87.67093809,"(41.926153342916486, -87.67093808722792)"
3115 N Narragansett Ave (Speed Camera),NB,,3/10/2014,41.93695084,-87.78574089,"(41.93695084197675, -87.78574089058974)"
4707 W Peterson Ave (Speed Camera),WB,,3/17/2014,41.98980767,-87.7462258,"(41.98980766908236, -87.74622580384673)"
6909 S Kedzie Ave (Speed Camera),NB,,9/6/2013,41.76773187,-87.70273791,"(41.76773186901884, -87.70273790708362)"
4909 N Cicero Ave (Speed Camera),SB,NB,9/18/2014,41.97013474,-87.7477238,"(41.970134735816295, -87.7477237971432)"
3521 N Western Ave (Speed Camera),NB,,1/31/2014,41.94557409,-87.68807785,"(41.945574090874274, -87.68807785258112)"
2603 W 79th St (Speed Camera),EB,,1/8/2014,41.74985294,-87.68798348,"(41.74985294026319, -87.68798347502599)"
1440 W Cermak Rd (Speed Camera),WB,EB,9/2/2014,41.85250181,-87.66281032,"(41.85250180995818, -87.66281031843234)"
5446 W Fullerton Ave (Speed Camera),WB,,12/12/2013,41.92412849,-87.762994,"(41.92412849125162, -87.76299399881007)"
4319 W 47th St (Speed Camera),EB,,8/27/2018,41.807645,-87.731753,"(41.807645, -87.731753)"
515 S Central Ave (Speed Camera),NB,,4/14/2014,41.87332924,-87.76446042,"(41.873329240103914, -87.76446041521123)"
3535 E 95th St (Speed Camera),EB,,6/30/2014,41.72281832,-87.53756747,"(41.722818322421595, -87.53756746533104)"
341 W 76th St (Speed Camera),EB,,4/30/2014,41.75615827,-87.63358626,"(41.756158269344546, -87.6335862634599)"
4042 W North Ave (Speed Camera),WB,,11/9/2015,41.90997242,-87.72805041,"(41.90997242450237, -87.72805040969816)"
1117 S Pulaski Rd (Speed Camera),NB,,9/5/2014,41.86740183,-87.72508369,"(41.867401834997956, -87.72508368792016)"
5529 S Western Ave (Speed Camera),SB,,11/23/2013,41.79252199,-87.68385705,"(41.79252199331773, -87.68385704739886)"
6523 N Western Ave (Speed Camera),NB,SB,11/10/2013,42.00025951,-87.68980291,"(42.00025951144952, -87.68980290863908)"
1901 E 75th St (Speed Camera),EB,WB,4/30/2014,41.75874077,-87.57851859,"(41.758740770124234, -87.57851859043261)"
2712 W Irving Park Rd (Speed Camera),WB,,11/15/2013,41.95409266,-87.6965965,"(41.954092657149786, -87.6965965016668)"
5120 N Pulaski Rd (Speed Camera),NB,SB,8/26/2013,41.97433265,-87.728215,"(41.97433265461055, -87.728215)"
6510 W Bryn Mawr Ave (Speed Camera),WB,,9/5/2014,41.98299453,-87.79083209,"(41.98299452666102, -87.79083208818419)"
5420 S Racine Ave (Speed Camera),NB,SB,3/10/2014,41.79533277,-87.65504098,"(41.795332774848234, -87.65504097855228)"
7422 S Jeffery Blvd (Speed Camera),SB,NB,1/25/2014,41.75944147,-87.57630061,"(41.759441472271405, -87.57630061252594)"
3646 W Madison St (Speed Camera),EB,WB,9/10/2013,41.88093819,-87.71789845,"(41.88093818643283, -87.71789844857646)"
1507 W 83rd St (Speed Camera),EB,WB,10/11/2014,41.74299303,-87.66113776,"(41.742993034938884, -87.66113775973551)"
2513 W 55th St (Speed Camera),EB,WB,1/18/2014,41.79370225,-87.68724427,"(41.79370224937009, -87.68724427195639)"
2115 S Western Ave (Speed Camera),NB,,4/25/2014,41.85338494,-87.68552968,"(41.85338493884992, -87.68552968203949)"
10318 S Indianapolis Ave (Speed Camera),NB,SB,12/24/2013,41.7075769,-87.52984826,"(41.70757690291348, -87.52984826112849)"
7826 S Pulaski Rd (Speed Camera),SB,,2/14/2014,41.7505462,-87.72209266,"(41.75054619772355, -87.72209265589272)"
324 S Kedzie Ave (Speed Camera),NB,SB,3/17/2014,41.87659894,-87.70614268,"(41.87659894232968, -87.70614267856668)"
2109 E 87th St (Speed Camera),EB,WB,9/18/2014,41.73698709,-87.57290118,"(41.7369870911534, -87.57290117806258)"
3116 N Narragansett Ave (Speed Camera),SB,,3/10/2014,41.93700435,-87.78603672,"(41.93700435024341, -87.78603672187927)"
629 State St (Speed Camera),NB,,11/25/2013,41.8738496,-87.62744787,"(41.873849598744286, -87.62744787497319)"
1229 Western Ave (Speed Camera),NB,,2/24/2014,41.90387808,-87.68690274,"(41.90387807933294, -87.68690274176198)"
3100 W Augusta Blvd (Speed Camera),EB,WB,10/17/2013,41.89932514,-87.70452235,"(41.89932514072566, -87.70452234551168)"
445 W 127th St (Speed Camera),EB,WB,10/17/2013,41.66317117,-87.63373365,"(41.66317117223548, -87.63373364696125)"
506 S Central Ave (Speed Camera),SB,,4/14/2014,41.87358142,-87.76476197,"(41.87358141810132, -87.7647619684764)"
6818 S Kedzie Ave (Speed Camera),SB,,9/6/2013,41.7691063,-87.70305896,"(41.769106296454154, -87.70305895795853)"
2445 W 51st St (Speed Camera),EB,,2/24/2014,41.80101288,-87.6860706,"(41.801012880525555, -87.68607060493738)"
5532 S Kedzie Ave (Speed Camera),SB,NB,1/7/2015,41.79252,-87.7036764,"(41.79251999694851, -87.70367640326066)"
6226 W Irving Park Rd (Speed Camera),EB,WB,4/26/2014,41.95307483,-87.78282554,"(41.95307482555687, -87.78282553773761)"
5025 S Western Ave (Speed Camera),NB,SB,2/25/2014,41.80217403,-87.68410656,"(41.802174029934044, -87.68410655772436)"
346 W 76th St (Speed Camera),WB,,4/30/2014,41.75637436,-87.63381658,"(41.7563743554102, -87.6338165847716)"
4620 W Belmont Ave (Speed Camera),EB,WB,3/10/2014,41.93898839,-87.74312142,"(41.938988390759555, -87.74312142256439)"
3450 W 71ST St (Speed Camera),EB,WB,9/6/2013,41.76439096,-87.70972842,"(41.76439095689881, -87.70972841983624)"
2432 N Ashland Ave (Speed Camera),NB,,1/25/2014,41.9262079,-87.66832898,"(41.92620790295943, -87.66832897708693)"
11144 S Vincennes Ave (Speed Camera),NB,,1/8/2014,41.69102546,-87.66424769,"(41.69102545584918, -87.6642476900556)"
11153 S Vincennes Ave (Speed Camera),SB,,1/8/2014,41.69070195,-87.66412239,"(41.690701951255015, -87.66412238501842)"
4040 W Chicago Ave (Speed Camera),WB,,3/24/2014,41.89544862,-87.72765847,"(41.895448620893006, -87.72765847088665)"
1142 W Irving Park Rd (Speed Camera),EB,WB,12/6/2013,41.95454087,-87.65857252,"(41.95454086624301, -87.65857252142276)"
3542 E 95th St (Speed Camera),WB,,6/30/2014,41.72304462,-87.53704076,"(41.72304461975978, -87.5370407583455)"
3217 W 55th St (Speed Camera),EB,,1/7/2015,41.79339237,-87.70434842,"(41.79339237207923, -87.70434842139014)"
4674 W Peterson Ave (Speed Camera),EB,,3/17/2014,41.99004267,-87.74533432,"(41.99004267366519, -87.7453343185986)"
1226 N Western Ave (Speed Camera),SB,,2/24/2014,41.9038171,-87.687195,"(41.90381710275111, -87.6871949977686)"
2549 W Addison St (Speed Camera),EB,WB,1/31/2014,41.9466182,-87.69054929,"(41.94661819673533, -87.69054929251513)"
6250 W Fullerton Ave (Speed Camera),WB,,12/21/2013,41.9238317,-87.78264224,"(41.92383169923362, -87.78264224184598)"
2705 W Irving Park Rd (Speed Camera),EB,,11/15/2013,41.95387526,-87.69620409,"(41.95387526461699, -87.69620408862693)"
4843 W Fullerton Ave (Speed Camera),EB,WB,1/13/2014,41.92410633,-87.74802266,"(41.92410632982652, -87.74802266359677)"
3200 S Archer Ave (Speed Camera),WB,EB,11/9/2015,41.83595802,-87.66879027,"(41.83595801848586, -87.66879026653764)"
2928 S Halsted St (Speed Camera),NB,SB,1/18/2014,41.84081263,-87.64649261,"(41.84081262592384, -87.64649261049526)"
2108 S Western Ave (Speed Camera),SB,,4/25/2014,41.85357262,-87.68582785,"(41.853572622430164, -87.6858278546488)"
2912 W Roosevelt Rd (Speed Camera),WB,,10/5/2013,41.86658528,-87.69896237,"(41.86658528313424, -87.69896237494204)"
4041 W Chicago Ave (Speed Camera),EB,,3/24/2014,41.89522799,-87.72771533,"(41.89522798956752, -87.72771533433409)"
4246 W 47th St (Speed Camera),WB,,8/27/2018,41.807853,-87.730128,"(41.807853, -87.730128)"
4925 S Archer Ave (Speed Camera),NEB,SWB,1/31/2014,41.80365647,-87.72101713,"(41.80365647472294, -87.72101713004055)"
5885 N Ridge Ave (Speed Camera),NB,SB,3/18/2014,41.98890447,-87.66845572,"(41.988904472466494, -87.66845572473223)"
4124 W Foster Ave (Speed Camera),EB,WB,8/26/2013,41.975501,-87.73166979,"(41.975501, -87.73166979484374)"
1111 N Humboldt Blvd (Speed Camera),SB,NB,11/19/2013,41.90143091,-87.70212117,"(41.901430911774796, -87.70212117023745)"
1444 W Division St (Speed Camera),WB,,9/5/2018,41.903482,-87.664378,"(41.903482, -87.664378)"
5006 S Western Blvd (Speed Camera),NB,SB,1/8/2018,41.802794,-87.683753,"(41.802794, -87.683753)"
4123 N Central Ave (Speed Camera),NB,SB,3/31/2014,41.95412826,-87.7668835,"(41.954128259602165, -87.76688350223966)"
1315 W Garfield Blvd (Speed Camera),EB,,3/24/2014,41.79364509,-87.65786076,"(41.793645091444645, -87.6578607639445)"
7833 S Pulaski Rd (Speed Camera),NB,,2/14/2014,41.75038453,-87.72179454,"(41.75038452958284, -87.72179453872008)"
6247 W Fullerton Ave (Speed Camera),EB,,12/21/2013,41.92361458,-87.78247949,"(41.9236145831186, -87.78247948955652)"
5520 S Western Ave(Speed Camera),NB,,11/23/2013,41.79276112,-87.68415736,"(41.792761119965434, -87.68415735542791)"
4053 W North Ave (Speed Camera),EB,,11/9/2015,41.90974567,-87.7285633,"(41.90974567444195, -87.72856329512945)"
8020 W Forest Preserve Ave (Speed Camera),EB,WB,7/16/2018,41.944352,-87.827241,"(41.944352, -87.827241)"
9618 S Ewing Ave (Speed Camera),NB,SB,5/31/2014,41.72075681,-87.53543679,"(41.72075680558273, -87.53543678735923)"
8006 W Addison St (Speed Camera),WB,,7/16/2018,41.945054,-87.827043,"(41.945054, -87.827043)"
62 E 95th St (Speed Camera),EB,,10/12/2013,41.7218785,-87.62135433,"(41.72187849819265, -87.62135432849777)"
3111 N Ashland Ave (Speed Camera),NB,,9/26/2014,41.93825331,-87.6684632,"(41.938253305553516, -87.66846320182256)"
4432 N Lincoln Ave (Speed Camera),NB,SB,1/4/2014,41.96226556,-87.684567,"(41.96226556022151, -87.68456699562915)"
2416 W 103rd St (Speed Camera),WB,,10/17/2014,41.7064872,-87.68239106,"(41.70648720051648, -87.68239105927896)"
3212 W 55th St (Speed Camera),WB,,1/7/2015,41.79361465,-87.70417036,"(41.793614646148406, -87.7041703550325)"
1455 W Division St (Speed Camera),EB,,9/5/2018,41.90329,-87.664873,"(41.90329, -87.664873)"
630 State St (Speed Camera),SB,,11/25/2013,41.8738242,-87.62774076,"(41.87382420497741, -87.62774075943143)"
4446 N Broadway (Speed Camera),SB,,11/23/2013,41.96288064,-87.65602445,"(41.96288063517309, -87.6560244499908)"
3911 W Diversey Ave (Speed Camera),EB,WB,7/16/2018,41.931868,-87.724595,"(41.931868, -87.724595)"
5471 W Higgins Ave (Speed Camera),EB,WB,2/14/2014,41.96924715,-87.76401945,"(41.96924714863934, -87.76401945149458)"
3810 W Belmont Ave (Speed Camera),WB,,4/8/2014,41.93925823,-87.72278143,"(41.93925823071868, -87.72278142793657)"
